video_id,video_title,stemmed,tokens,translate_english,sentiment,published_at
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,mampus,['mampus'],mampus,0.0,2025-09-11T16:05:33Z
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,sudah tau sebab lah terus tindak nya untuk wilayah yang lain gmn jgn diam diam bae jd tri gilir sudah jadi seperti ini anda koar koar bagai pahlawan siang bolong,"['sudah', 'tau', 'sebab', 'lah', 'terus', 'tindak', 'nya', 'untuk', 'wilayah', 'yang', 'lain', 'gmn', 'jgn', 'diam', 'diam', 'bae', 'jd', 'tri', 'gilir', 'sudah', 'jadi', 'seperti', 'ini', 'anda', 'koar', 'koar', 'bagai', 'pahlawan', 'siang', 'bolong']",sudah tau penyebabnya lah terus tindakan nya untuk wilayah yang lain gmn jgn diam diam bae jd mentri giliran sudah terjadi seperti ini anda koar koar bagaikan pahlawan disiang bolong,0.0,2025-09-11T16:05:15Z
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,ya tabah pohon srmua tenang dan samlahkoster bilang samlah urus sendiri mulutny yang bicara begitubalak,"['ya', 'tabah', 'pohon', 'srmua', 'tenang', 'dan', 'samlahkoster', 'bilang', 'samlah', 'urus', 'sendiri', 'mulutny', 'yang', 'bicara', 'begitubalak']",ya tabah pohon srmua ditenang dan samlahkoster bilang samlah diurus sendiri mulutny yang bicara begitubalak,0.0,2025-09-11T16:02:31Z
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,masalah,['masalah'],masalah,0.0,2025-09-11T16:01:38Z
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,lah kau tri nya kalo cuma cari sebab nya saya juga bisa pak,"['lah', 'kau', 'tri', 'nya', 'kalo', 'cuma', 'cari', 'sebab', 'nya', 'saya', 'juga', 'bisa', 'pak']",lah kau mentri nya kalo cuma cari penyebab nya saya juga bisa pak,0.0,2025-09-11T15:51:55Z
pHggFesEpUc,Menteri LH Ungkap Penyebab Banjir Bali: Sampah dan Alih Fungsi Lahan | SAPA MALAM,telah jadi baru nyari sebab dan sudah pasti banyak yang akan di salah kemaren kemaren kalian mana tidur,"['telah', 'jadi', 'baru', 'nyari', 'sebab', 'dan', 'sudah', 'pasti', 'banyak', 'yang', 'akan', 'di', 'salah', 'kemaren', 'kemaren', 'kalian', 'mana', 'tidur']",setelah kejadian baru nyari penyebabnya dan sudah pasti banyak yang akan di salahkan kemaren kemaren kalian kemana tidur,0.0,2025-09-11T15:50:26Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,nah bener dialog itu penting biar wawas dari sisi fery dan tni bisa nilai masing individu indonesia,"['nah', 'bener', 'dialog', 'itu', 'penting', 'biar', 'wawas', 'dari', 'sisi', 'fery', 'dan', 'tni', 'bisa', 'nilai', 'masing', 'individu', 'indonesia']",nah bener berdialog itu penting biar wawasan dari sisi fery dan tni bisa dinilai masing individu indonesia,0.0,2025-09-11T15:24:21Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,aga susah prof untuk harap tni dialog apalagi ada dialektika akademis,"['aga', 'susah', 'prof', 'untuk', 'harap', 'tni', 'dialog', 'apalagi', 'ada', 'dialektika', 'akademis']",aga susah prof untuk berharap tni berdialog apalagi ada dialektika akademisnya,0.0,2025-09-11T15:21:27Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,fun fact ferwan lalu malaka sdh berulangkali ingin dialog dg pihak polri maupun tni tapi gak prnah ada realisasi nya krna tak ada tanggap lucu kemarin ngaku tni tidak bisa hubung sulit hubung ferwan padahal nih ya ferwan sudah di doxing sejak tahun lalu nomor sebar tapi dia gak pernah ganti nomor ada yang nama dm instagram bisa ke ferwan atau malaka tapi tak ada satu kontak dm atau komen di akun tsb ada yang nama twitterx dan threads yang mana ferwan aktif sekali sana tapi gak ada tuh dia kontak lalu reply atau quotes para wartawan bahkan followers mudah sekali hubung ferwan lalu semua sosmed nya,"['fun', 'fact', 'ferwan', 'lalu', 'malaka', 'sdh', 'berulangkali', 'ingin', 'dialog', 'dg', 'pihak', 'polri', 'maupun', 'tni', 'tapi', 'gak', 'prnah', 'ada', 'realisasi', 'nya', 'krna', 'tak', 'ada', 'tanggap', 'lucu', 'kemarin', 'ngaku', 'tni', 'tidak', 'bisa', 'hubung', 'sulit', 'hubung', 'ferwan', 'padahal', 'nih', 'ya', 'ferwan', 'sudah', 'di', 'doxing', 'sejak', 'tahun', 'lalu', 'nomor', 'sebar', 'tapi', 'dia', 'gak', 'pernah', 'ganti', 'nomor', 'ada', 'yang', 'nama', 'dm', 'instagram', 'bisa', 'ke', 'ferwan', 'atau', 'malaka', 'tapi', 'tak', 'ada', 'satu', 'kontak', 'dm', 'atau', 'komen', 'di', 'akun', 'tsb', 'ada', 'yang', 'nama', 'twitterx', 'dan', 'threads', 'yang', 'mana', 'ferwan', 'aktif', 'sekali', 'sana', 'tapi', 'gak', 'ada', 'tuh', 'dia', 'kontak', 'lalu', 'reply', 'atau', 'quotes', 'para', 'wartawan', 'bahkan', 'followers', 'mudah', 'sekali', 'hubung', 'ferwan', 'lalu', 'semua', 'sosmed', 'nya']",fun fact ferwan melalui malaka sdh berulangkali ingin berdialog dg pihak polri maupun tni tapi gak prnah ada realisasi nya krna tak ada tanggapan lucunya kemarin ngaku tni tidak bisa menghubungi sulit menghubungi ferwan padahal nih ya ferwan sudah di doxing sejak tahun lalu nomor disebar tapi dia gak pernah ganti nomor ada yang namanya dm instagram bisa ke ferwan atau malaka tapi tak ada satupun kontak dm atau komen di akun tsb ada yang namanya twitterx dan threads yang mana ferwan aktif sekali disana tapi gak ada tuh dia dikontak melalui reply atau quotes para wartawan bahkan followers mudah sekali menghubungi ferwan melalui semua sosmed nya,0.3,2025-09-11T15:17:11Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,gin saja kah kuat siber tni,"['gin', 'saja', 'kah', 'kuat', 'siber', 'tni']",segini saja kah kekuatan siber tni,0.0,2025-09-11T15:16:30Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,sangat tuju dgn pak yusril,"['sangat', 'tuju', 'dgn', 'pak', 'yusril']",sangat setuju dgn pak yusril,0.0,2025-09-11T15:10:49Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,nah jawab gin kan enak,"['nah', 'jawab', 'gin', 'kan', 'enak']",nah jawabnya gini kan enak,0.0,2025-09-11T15:10:06Z
uRT3vVYMQU0,Menko Yusril Sarankan TNI Buka Dialog dengan Ferry Irwandi,nah begitu harusnyakan rakyat sendiri masak mau di hukum sama institusi atau lembaga,"['nah', 'begitu', 'harusnyakan', 'rakyat', 'sendiri', 'masak', 'mau', 'di', 'hukum', 'sama', 'institusi', 'atau', 'lembaga']",nah begitu harusnyakan rakyatnya sendiri masak mau di hukum sama institusi atau lembaga,0.0,2025-09-11T15:08:18Z
